UE,RSRP,RSRQ,SINR,Cluster,Time
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:44.588370
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:45.835569
ue1,-109.0,-13.0,12.0,0,2025-06-07 23:26:45.839614
ue0,-93.0,-15.0,8.0,2,2025-06-07 23:26:47.087083
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:47.091113
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:48.338593
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:26:48.342688
ue0,-92.0,-16.0,6.0,2,2025-06-07 23:26:49.591682
ue1,-109.0,-12.0,13.0,0,2025-06-07 23:26:49.599035
ue0,-92.0,-15.0,9.0,2,2025-06-07 23:26:50.853375
ue1,-108.0,-9.0,16.0,0,2025-06-07 23:26:50.858309
ue1,-109.0,-10.0,14.0,0,2025-06-07 23:26:52.115827
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:26:52.117730
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:26:53.367320
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:53.369189
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:54.648937
ue1,-109.0,-10.0,13.0,0,2025-06-07 23:26:54.648968
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:55.899617
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:55.899656
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:57.151168
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:57.151206
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:58.402645
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:58.402716
ue1,-110.0,-12.0,13.0,0,2025-06-07 23:26:59.654152
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:59.654180
ue1,-110.0,-11.0,14.0,0,2025-06-07 23:27:00.910720
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:27:00.915893
ue1,-108.0,-11.0,14.0,0,2025-06-07 23:27:02.192209
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:27:02.192240
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:03.451541
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:27:03.451605
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:04.703030
ue1,-109.0,-12.0,14.0,0,2025-06-07 23:27:04.703135
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:27:05.954505
ue1,-110.0,-11.0,14.0,0,2025-06-07 23:27:05.954596
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:07.206590
ue1,-109.0,-14.0,13.0,0,2025-06-07 23:27:07.207036
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:08.468042
ue1,-107.0,-11.0,16.0,0,2025-06-07 23:27:08.468085
ue1,-107.0,-10.0,16.0,0,2025-06-07 23:27:09.746754
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:09.746785
ue1,-107.0,-13.0,15.0,0,2025-06-07 23:27:10.998279
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:10.998372
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:27:12.274974
ue1,-108.0,-12.0,14.0,0,2025-06-07 23:27:12.275001
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:27:13.527560
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:27:13.527622
ue0,-92.0,-14.0,8.0,2,2025-06-07 23:27:14.784214
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:27:14.784287
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:27:16.035557
ue1,-107.0,-10.0,16.0,0,2025-06-07 23:27:16.035619
ue1,-106.0,-12.0,14.0,0,2025-06-07 23:27:17.287100
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:27:17.287126
ue0,-91.0,-14.0,9.0,2,2025-06-07 23:27:18.543651
ue1,-107.0,-10.0,15.0,0,2025-06-07 23:27:18.543681
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:27:19.795176
ue1,-109.0,-18.0,13.0,1,2025-06-07 23:27:19.795271
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:27:21.051582
ue1,-108.0,-13.0,13.0,0,2025-06-07 23:27:21.051612
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:27:22.309071
