Time,UE1 RSRP,UE1 RSRQ,UE1 SINR,UE1 Datagrams Loss Ratio,UE1 Total Datagrams
19:26:24,-83,-11,22,0.00E+00,1825
19:26:25,-78,-11,21,0.00E+00,1838
19:26:26,-80,-11,21,0.00E+00,1827
19:26:27,-81,-11,21,0.00E+00,1837
19:26:28,-77,-11,21,0.00E+00,1834
19:26:29,,,,0.00E+00,1823
19:26:30,-82,-11,24,0.00E+00,1836
19:26:31,-83,-11,22,0.00E+00,1817
19:26:32,-78,-11,22,0.00E+00,1846
19:26:33,-81,-11,21,0.00E+00,1815
19:26:34,-80,-11,21,0.00E+00,1838
19:26:35,-83,-11,22,0.00E+00,1833
19:26:36,-80,-11,22,0.00E+00,1839
19:26:37,-79,-11,22,0.00E+00,1819
19:26:38,-84,-11,22,0.00E+00,1832
19:26:39,-78,-11,21,0.00E+00,1839
19:26:40,-80,-11,21,0.00E+00,1827
19:26:41,-84,-11,23,0.00E+00,1834
19:26:42,-87,-11,23,0.00E+00,1830
19:26:43,,,,0.00E+00,1823
19:26:44,-79,-11,19,0.00E+00,1818
19:26:45,-74,-11,22,0.00E+00,1848
19:26:46,-75,-11,24,0.00E+00,1837
19:26:47,-76,-11,24,0.00E+00,1836
19:26:48,-75,-11,29,0.00E+00,1812
19:26:49,-74,-11,29,0.00E+00,1842
19:26:50,-76,-11,27,0.00E+00,1833
19:26:51,-72,-11,27,0.00E+00,1832
19:26:52,-75,-11,31,0.00E+00,1825
19:26:53,-73,-11,25,0.00E+00,1834
19:26:54,-77,-11,26,0.00E+00,1828
19:26:55,-80,-11,26,0.00E+00,1841
19:26:56,-82,-11,20,0.00E+00,1819
19:26:57,,,,0.00E+00,1841
19:26:58,-81,-11,20,0.00E+00,1823
19:26:59,-82,-11,20,0.00E+00,1831
19:27:00,-81,-11,20,0.00E+00,1829
19:27:01,-85,-11,20,0.00E+00,1834
19:27:02,-89,-11,21,0.00E+00,1835
19:27:03,-82,-11,21,0.00E+00,1833
19:27:04,-86,-11,21,0.00E+00,1815
19:27:05,-85,-11,21,0.00E+00,1848
19:27:06,-85,-11,21,0.00E+00,1821
19:27:07,-82,-11,21,0.00E+00,1835
19:27:08,-85,-11,21,0.00E+00,1835
19:27:09,-82,-11,21,0.00E+00,1817
19:27:10,-82,-11,22,0.00E+00,1844
19:27:11,,,,0.00E+00,1831
19:27:12,-81,-11,23,0.00E+00,1819
19:27:13,-83,-11,21,0.00E+00,1840
19:27:14,-84,-11,21,0.00E+00,1832
19:27:15,-82,-11,21,0.00E+00,1832
19:27:16,-81,-11,21,0.00E+00,1837
19:27:17,-81,-11,24,0.00E+00,1828
19:27:18,-83,-11,24,0.00E+00,1831
19:27:19,-81,-11,21,0.00E+00,1819
19:27:20,-84,-11,23,0.00E+00,1834
19:27:21,-82,-11,22,0.00E+00,1845
19:27:22,-82,-11,22,0.00E+00,1828
19:27:23,-79,-11,22,0.00E+00,1838
19:27:24,-79,-11,22,0.00E+00,1812
19:27:25,,,,0.00E+00,1841
19:27:26,-81,-11,22,0.00E+00,1836
19:27:27,-77,-11,24,0.00E+00,1831
19:27:28,-79,-11,24,0.00E+00,1827
19:27:29,-84,-11,22,0.00E+00,1827
19:27:30,-84,-11,22,0.00E+00,1837
19:27:31,-85,-11,22,0.00E+00,1828
19:27:32,-82,-11,21,0.00E+00,1835
19:27:33,-80,-11,21,0.00E+00,1822
19:27:34,-80,-11,21,0.00E+00,1836
19:27:35,-81,-11,21,0.00E+00,1837
19:27:36,-82,-11,21,0.00E+00,1822
19:27:37,-80,-11,22,0.00E+00,1839
19:27:38,-82,-11,22,0.00E+00,1828
19:27:39,-83,-11,21,0.00E+00,1830
19:27:40,,,,0.00E+00,1838
19:27:41,-85,-11,21,0.00E+00,1829
19:27:42,-80,-11,21,0.00E+00,1832
19:27:43,-83,-11,21,0.00E+00,1826
19:27:44,-82,-11,21,0.00E+00,1833
19:27:45,-83,-11,21,0.00E+00,1831
19:27:46,-84,-11,22,0.00E+00,1826
19:27:47,-82,-11,22,0.00E+00,1824
19:27:48,-86,-11,22,0.00E+00,1845
19:27:49,-86,-11,22,0.00E+00,1810
19:27:50,-85,-11,20,0.00E+00,1846
19:27:51,-85,-11,20,0.00E+00,1836
19:27:52,-84,-11,20,0.00E+00,1823
19:27:53,,,,0.00E+00,1836
19:27:54,-65,-11,21,0.00E+00,1836
19:27:55,-68,-11,21,0.00E+00,1821
19:27:56,-66,-11,28,0.00E+00,1843
19:27:57,-67,-11,29,0.00E+00,1827
19:27:58,-67,-11,30,0.00E+00,1828
19:27:59,-64,-11,30,0.00E+00,1830
19:28:00,-66,-11,30,0.00E+00,1833
19:28:01,-66,-11,30,0.00E+00,1833
19:28:02,-66,-11,31,0.00E+00,1830
19:28:03,-76,-11,31,0.00E+00,1829
19:28:04,-69,-11,30,0.00E+00,1830
19:28:05,-66,-11,30,0.00E+00,1837
19:28:06,-71,-11,31,0.00E+00,1828
19:28:07,,,,0.00E+00,1831
19:28:08,-72,-11,31,0.00E+00,1827
19:28:09,-69,-11,30,0.00E+00,1841
19:28:10,-71,-11,30,0.00E+00,1822
19:28:11,-73,-11,30,0.00E+00,1834
19:28:12,-70,-11,30,0.00E+00,1829
19:28:13,-68,-11,29,0.00E+00,1835
19:28:14,-67,-11,31,0.00E+00,1823
19:28:15,-71,-11,31,0.00E+00,1839
19:28:16,-69,-11,31,0.00E+00,1835
19:28:17,-69,-11,30,0.00E+00,1827
19:28:18,-68,-11,30,0.00E+00,1835
19:28:19,-69,-11,30,0.00E+00,1823
19:28:20,,,,0.00E+00,1836
